Site_ID,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10
1,0.084170,0.178046,0.057570,0.261674,0.437068,0.129048,0.105331,0.328342,0.076577,0.033770
2,0.144308,0.162805,0.092713,0.432782,0.461701,0.086488,0.211955,0.408263,0.093523,0.043208
3,0.114415,0.149654,0.130490,0.205389,0.640257,0.082641,0.151613,0.403006,0.081545,0.034872
4,0.068544,0.141361,0.139934,0.322424,0.331739,0.121629,0.258705,0.342246,0.097146,0.057565
5,0.081773,0.128289,0.121784,0.266902,0.553596,0.117176,0.351580,0.420502,0.087060,0.026493
6,0.142632,0.132471,0.157926,0.309747,0.376440,0.158632,0.256414,0.634850,0.175128,0.044252
7,0.125342,0.186974,0.137858,0.248692,0.308361,0.176002,0.264716,0.298984,0.148338,0.046245
8,0.151718,0.112700,0.127936,0.299094,0.387959,0.126799,0.276699,0.160916,0.258051,0.045874
9,0.116672,0.216724,0.116245,0.348157,0.449602,0.095382,0.110093,0.238534,0.166714,0.072832
10,0.159522,0.180114,0.199425,0.392282,0.289039,0.123362,0.193862,0.201169,0.168101,0.083743
11,0.078014,0.113584,0.303715,0.316088,0.138522,0.082893,0.371295,0.201649,0.208162,0.101332
12,0.123469,0.243637,0.349352,0.330104,0.255228,0.126412,0.413148,0.332428,0.153981,0.106313
13,0.172974,0.191023,0.213846,0.281489,0.195177,0.076749,0.487784,0.262998,0.215837,0.110168
14,0.177802,0.090468,0.135023,0.166989,0.358158,0.174215,0.493740,0.181431,0.283722,0.111405
15,0.098127,0.103613,0.125936,0.256594,0.250594,0.278703,0.354476,0.350503,0.265178,0.083540
16,0.165282,0.161086,0.129610,0.262155,0.209784,0.313476,0.205533,0.185183,0.435840,0.053543
17,0.194547,0.197809,0.155552,0.253036,0.243508,0.245411,0.246869,0.192750,0.326020,0.066299
18,0.148540,0.161561,0.235346,0.165210,0.195074,0.168356,0.332836,0.218003,0.277119,0.070091
19,0.311864,0.140625,0.252346,0.159054,0.123141,0.144308,0.211180,0.164471,0.234231,0.033636
20,0.523184,0.144636,0.188044,0.180069,0.241174,0.162972,0.159859,0.181278,0.217766,0.051004
21,0.223182,0.150512,0.502085,0.185931,0.220963,0.255973,0.197375,0.119594,0.117421,0.040810
22,0.177580,0.194537,0.229103,0.137257,0.250291,0.216311,0.472442,0.183960,0.167168,0.052680
23,0.247488,0.142440,0.264610,0.104952,0.209484,0.128202,0.465724,0.151578,0.149777,0.055080
24,0.206700,0.116633,0.224586,0.123069,0.231936,0.105501,0.251980,0.314855,0.150506,0.074963
25,0.428846,0.107508,0.312153,0.076716,0.171065,0.096108,0.242028,0.372773,0.176268,0.066939
26,0.146432,0.118776,0.285357,0.101099,0.273320,0.181791,0.223129,0.276655,0.143688,0.074193
27,0.199022,0.105850,0.211106,0.098473,0.131421,0.134654,0.217266,0.182252,0.168579,0.041324
28,0.218181,0.095113,0.157246,0.077516,0.295884,0.156108,0.146700,0.178015,0.181406,0.019643
29,0.195863,0.191325,0.276090,0.109893,0.175406,0.122999,0.164132,0.150477,0.116134,0.037601
30,0.142418,0.207982,0.177822,0.084252,0.197281,0.176505,0.306436,0.157953,0.089305,0.030695
31,0.224835,0.150095,0.262633,0.096908,0.214332,0.064078,0.141012,0.302703,0.232586,0.051989
32,0.190597,0.182442,0.256866,0.112155,0.148254,0.142359,0.185808,0.289757,0.250988,0.051616
33,0.166413,0.161770,0.150154,0.091122,0.171647,0.052542,0.159273,0.162642,0.228067,0.035958
34,0.193041,0.216479,0.339647,0.166735,0.225628,0.071396,0.452081,0.260329,0.209357,0.042362
35,0.198412,0.228817,0.285133,0.126336,0.124628,0.123711,0.334928,0.244000,0.202002,0.063639
36,0.135797,0.150366,0.312643,0.107171,0.063380,0.132387,0.259194,0.209311,0.186761,0.065729
37,0.104903,0.138628,0.322600,0.146151,0.078390,0.117841,0.285695,0.243320,0.159840,0.028166
38,0.148130,0.146175,0.267325,0.107908,0.096286,0.123794,0.372491,0.292312,0.151051,0.038784
39,0.203434,0.163870,0.340129,0.139397,0.081678,0.123323,0.143269,0.190656,0.189435,0.057957
40,0.165475,0.196761,0.550436,0.160809,0.148969,0.140053,0.366429,0.227199,0.163748,0.062317
41,0.208069,0.098531,0.430675,0.110921,0.104059,0.234454,0.430828,0.156587,0.161625,0.036416
42,0.146473,0.151259,0.626674,0.279021,0.210024,0.120270,0.327822,0.137691,0.199854,0.042216
43,0.101959,0.174873,0.411529,0.099970,0.132932,0.184773,0.294301,0.165372,0.290935,0.106465
44,0.134957,0.139482,0.494595,0.156991,0.165934,0.302309,0.373679,0.195778,0.236182,0.041774
45,0.195777,0.099643,0.267811,0.137212,0.173784,0.166802,0.222421,0.209240,0.164775,0.052532
46,0.159821,0.127412,0.339222,0.166839,0.144347,0.207953,0.157722,0.408381,0.281969,0.058481
47,0.124128,0.103246,0.237854,0.235383,0.161806,0.277567,0.142580,0.214170,0.239786,0.079759
48,0.140755,0.085911,0.451845,0.263348,0.136360,0.135023,0.101423,0.245415,0.283355,0.034308
49,0.175536,0.090239,0.272393,0.182872,0.119721,0.111300,0.090959,0.293886,0.215607,0.034137
50,0.159648,0.151545,0.270197,0.150352,0.146870,0.166772,0.116001,0.374069,0.253609,0.058105
51,0.143049,0.082351,0.279632,0.282082,0.137192,0.116124,0.156186,0.351852,0.147039,0.053548
52,0.130622,0.153420,0.394101,0.140085,0.156585,0.116899,0.105205,0.317117,0.237296,0.082069
53,0.166957,0.117448,0.467064,0.198673,0.098564,0.171349,0.143946,0.440895,0.312603,0.100253
54,0.162792,0.118583,0.838674,0.117508,0.088039,0.275456,0.187343,0.159488,0.255812,0.065079
55,0.210844,0.131892,0.523461,0.106361,0.171247,0.136540,0.258805,0.145782,0.207831,0.046237
56,0.318860,0.155709,0.464931,0.059706,0.203447,0.254714,0.170474,0.157064,0.311500,0.054214
57,0.165797,0.167514,0.576699,0.120178,0.249735,0.180432,0.179484,0.215399,0.471855,0.040434
58,0.212232,0.086476,0.479426,0.094108,0.349434,0.252796,0.104669,0.311629,0.278148,0.037229
59,0.146243,0.184482,0.471003,0.095708,0.232452,0.088755,0.151572,0.271955,0.352747,0.054340
60,0.166526,0.227827,0.253328,0.130734,0.256084,0.168423,0.228904,0.304278,0.329307,0.055614
61,0.313261,0.267133,0.312986,0.078516,0.185128,0.109100,0.174078,0.332881,0.248802,0.037707
62,0.192249,0.186594,0.338567,0.138804,0.153348,0.118584,0.181857,0.306824,0.286283,0.038084
63,0.276383,0.168708,0.569200,0.147249,0.171549,0.128743,0.126101,0.320313,0.240783,0.040031
64,0.189652,0.103485,0.426559,0.155016,0.240241,0.133793,0.188669,0.320563,0.222254,0.054102
65,0.205162,0.096781,0.497758,0.239090,0.181353,0.110391,0.106795,0.440727,0.189334,0.040370
66,0.181995,0.143148,0.318212,0.154902,0.236583,0.208419,0.150261,0.237970,0.226442,0.092172
67,0.242724,0.253131,0.514087,0.076063,0.303436,0.252048,0.108293,0.428864,0.215993,0.083586
68,0.165218,0.212639,0.545215,0.171306,0.313776,0.122052,0.106679,0.303671,0.137171,0.072576
69,0.178444,0.132440,0.270366,0.117624,0.195578,0.187089,0.154375,0.526652,0.225617,0.085302
70,0.194931,0.245046,0.313897,0.145864,0.277151,0.157837,0.102758,0.538631,0.124981,0.058415
71,0.180152,0.263359,0.262974,0.275260,0.335469,0.300022,0.086315,0.349630,0.124042,0.065697
72,0.164103,0.214108,0.236417,0.198640,0.446113,0.152055,0.143699,0.392152,0.252008,0.062040
73,0.185343,0.183676,0.337634,0.159653,0.274157,0.125670,0.101893,0.277162,0.130215,0.043366
74,0.319365,0.208781,0.304611,0.179689,0.276084,0.313066,0.083325,0.283677,0.203291,0.031351
