Site_ID,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10
1,0.022134,0.048837,0.020912,0.015578,0.035585,0.010458,0.023985,0.059891,0.030139,0.017526
2,0.029724,0.033054,0.032367,0.015965,0.089189,0.006554,0.031852,0.087922,0.043017,0.012451
3,0.039152,0.040014,0.060497,0.015054,0.086358,0.012139,0.040010,0.070666,0.046549,0.015897
4,0.020045,0.014625,0.075108,0.011043,0.090673,0.021301,0.055211,0.106102,0.058301,0.012938
5,0.027432,0.018448,0.033462,0.018934,0.112465,0.033197,0.070213,0.086976,0.039604,0.010346
6,0.025566,0.039980,0.030808,0.009918,0.084939,0.013148,0.048750,0.105342,0.067924,0.011704
7,0.037660,0.029667,0.027680,0.020299,0.161452,0.020661,0.046610,0.061205,0.023645,0.014628
8,0.025731,0.012995,0.050014,0.018402,0.078286,0.019991,0.061316,0.078586,0.058098,0.028155
9,0.025210,0.026540,0.069047,0.017693,0.132544,0.010940,0.060492,0.079449,0.071880,0.020139
10,0.027766,0.023091,0.065427,0.033334,0.048638,0.017018,0.054150,0.094468,0.027719,0.026247
11,0.030467,0.022567,0.074463,0.024879,0.069832,0.013211,0.049350,0.143374,0.052172,0.019065
12,0.028757,0.028044,0.040194,0.010762,0.065034,0.016139,0.036506,0.124681,0.058568,0.030935
13,0.023746,0.030068,0.082625,0.018114,0.051291,0.016588,0.057471,0.094672,0.127938,0.037261
14,0.018048,0.020201,0.099305,0.011341,0.148350,0.016820,0.030780,0.040356,0.106754,0.027497
15,0.010287,0.043081,0.041285,0.017791,0.117338,0.023854,0.100930,0.104158,0.140806,0.016828
16,0.016536,0.022312,0.060825,0.008361,0.048669,0.027903,0.036976,0.041687,0.223683,0.012100
17,0.033668,0.028953,0.142758,0.006800,0.053417,0.020694,0.037971,0.052074,0.079955,0.014740
18,0.014884,0.028966,0.111277,0.010821,0.055166,0.023752,0.050643,0.098624,0.087924,0.030300
19,0.022328,0.027117,0.064320,0.008238,0.067978,0.024443,0.080200,0.095814,0.050560,0.017963
20,0.037151,0.030020,0.079947,0.008411,0.079933,0.027637,0.039793,0.070478,0.114078,0.023280
21,0.028886,0.027587,0.081074,0.008870,0.093389,0.022613,0.032005,0.047638,0.037783,0.018088
22,0.037740,0.061818,0.069631,0.012095,0.105290,0.027425,0.047377,0.022798,0.052102,0.020566
23,0.056258,0.022127,0.095548,0.023726,0.109307,0.014026,0.049401,0.034591,0.068753,0.026039
24,0.024533,0.040748,0.047925,0.022142,0.099987,0.010880,0.029693,0.051966,0.085514,0.033361
25,0.040534,0.022719,0.030374,0.018632,0.144717,0.019128,0.039988,0.115749,0.044329,0.025896
26,0.016624,0.045366,0.046608,0.013846,0.079273,0.016215,0.028934,0.068412,0.046541,0.020814
27,0.047352,0.052948,0.021661,0.019683,0.079290,0.019886,0.017467,0.045990,0.034065,0.011045
28,0.039159,0.055929,0.031889,0.020456,0.083312,0.023430,0.025234,0.060366,0.056142,0.012555
29,0.036468,0.037374,0.047987,0.012099,0.087854,0.014041,0.019879,0.056907,0.054253,0.018082
30,0.037886,0.068638,0.038787,0.006299,0.049997,0.027240,0.033897,0.038182,0.033569,0.020234
31,0.036393,0.030602,0.019316,0.010711,0.072150,0.025915,0.024453,0.056084,0.038312,0.020071
32,0.037215,0.041946,0.054560,0.020076,0.134212,0.043314,0.018013,0.028585,0.027417,0.015287
33,0.041318,0.103026,0.022266,0.010983,0.112655,0.031960,0.019818,0.027932,0.039615,0.016800
34,0.032599,0.070031,0.037883,0.015632,0.125294,0.034028,0.047265,0.030595,0.026157,0.024801
35,0.053991,0.064363,0.053084,0.015036,0.042895,0.035084,0.041234,0.033346,0.087127,0.023700
36,0.029442,0.033974,0.032732,0.026675,0.058482,0.057480,0.019844,0.033455,0.049620,0.013073
37,0.059979,0.034078,0.037627,0.026373,0.080312,0.075763,0.024455,0.026459,0.049425,0.013304
38,0.073946,0.023513,0.038082,0.020581,0.113431,0.045400,0.034941,0.037829,0.024783,0.025324
39,0.031812,0.020648,0.050879,0.020254,0.068692,0.070290,0.030775,0.038579,0.043090,0.020385
40,0.014345,0.055127,0.046484,0.028167,0.080718,0.035397,0.036021,0.033530,0.033447,0.031416
41,0.016555,0.027446,0.067485,0.054042,0.127217,0.025923,0.020684,0.033693,0.040344,0.016920
42,0.027080,0.029384,0.090858,0.053043,0.159281,0.021297,0.021310,0.025468,0.030632,0.023863
43,0.022271,0.018154,0.060244,0.059640,0.090315,0.039395,0.056938,0.042055,0.064417,0.045382
44,0.054882,0.012597,0.094113,0.046202,0.065423,0.078362,0.067679,0.109884,0.036291,0.016591
45,0.087683,0.017031,0.075056,0.055067,0.055459,0.061233,0.053379,0.046262,0.030863,0.013291
46,0.044677,0.012227,0.084600,0.043357,0.065445,0.071791,0.025272,0.081622,0.083595,0.046095
47,0.029793,0.014792,0.075761,0.058475,0.085317,0.088991,0.045958,0.112988,0.057441,0.059065
48,0.037139,0.022275,0.074314,0.105889,0.067861,0.037478,0.030144,0.081959,0.052067,0.033098
49,0.027246,0.010012,0.034776,0.074441,0.042661,0.033453,0.034341,0.138689,0.028903,0.013508
50,0.032453,0.023476,0.033448,0.068156,0.038446,0.037338,0.044438,0.091599,0.049522,0.020754
51,0.043712,0.012168,0.036095,0.066471,0.061608,0.028636,0.048657,0.063750,0.033284,0.017157
52,0.018348,0.017625,0.025347,0.047308,0.050409,0.015206,0.031268,0.029774,0.039969,0.026747
53,0.045003,0.022380,0.026378,0.063960,0.027259,0.033031,0.024651,0.067275,0.034291,0.017383
54,0.054355,0.032761,0.049386,0.027055,0.046177,0.028405,0.036029,0.037017,0.035944,0.017469
55,0.048556,0.033293,0.028313,0.025228,0.068578,0.042763,0.023408,0.022550,0.034418,0.025193
56,0.030025,0.028767,0.044604,0.015002,0.037446,0.043958,0.019682,0.026228,0.037031,0.012239
57,0.014050,0.070002,0.049719,0.023725,0.050367,0.069217,0.033437,0.043480,0.080180,0.018175
58,0.015575,0.049517,0.029535,0.034568,0.092482,0.120360,0.008075,0.044830,0.074875,0.019340
59,0.023399,0.056714,0.028281,0.037830,0.065155,0.029641,0.018050,0.070635,0.115253,0.024290
60,0.014201,0.040348,0.023545,0.034430,0.063375,0.039542,0.023402,0.063417,0.082297,0.039441
61,0.018371,0.070611,0.025459,0.020607,0.100224,0.035349,0.030775,0.050805,0.058979,0.054411
62,0.038919,0.075183,0.036083,0.029977,0.060436,0.036105,0.019568,0.057002,0.059527,0.046303
63,0.050309,0.042099,0.040338,0.024163,0.090345,0.069452,0.010742,0.065923,0.102765,0.054380
64,0.044217,0.036106,0.037041,0.029196,0.089372,0.059115,0.023894,0.027277,0.063264,0.033204
65,0.042761,0.077092,0.041918,0.015001,0.063483,0.036704,0.008067,0.032380,0.022869,0.016836
66,0.026142,0.139047,0.037132,0.023850,0.130750,0.039656,0.021663,0.022742,0.028788,0.025079
67,0.024199,0.186638,0.075421,0.012746,0.121552,0.061182,0.021562,0.049063,0.016338,0.020510
68,0.014383,0.246507,0.044597,0.080798,0.121946,0.035711,0.029127,0.023765,0.018894,0.028091
69,0.016686,0.117459,0.080914,0.021664,0.127904,0.086382,0.040524,0.041369,0.019571,0.026641
70,0.036334,0.176603,0.064272,0.028454,0.088778,0.065162,0.025749,0.046748,0.033318,0.010379
71,0.031813,0.072208,0.061101,0.052505,0.082401,0.092787,0.046682,0.045035,0.047997,0.023527
72,0.025671,0.066996,0.068802,0.036146,0.071496,0.062763,0.047426,0.044898,0.052474,0.057507
73,0.013840,0.109374,0.053356,0.063204,0.088897,0.065867,0.032672,0.031843,0.036536,0.029736
74,0.019291,0.060587,0.046073,0.093528,0.114194,0.097413,0.017564,0.045805,0.040632,0.033124
75,0.011902,0.044732,0.081056,0.069870,0.075633,0.042017,0.022456,0.054865,0.044533,0.031910
