ID,Longitude,Latitude,LocalX,LocalY
134,99.871101,29.505207,-12.498333,-54.839958
135,99.881416,29.505178,-11.498174,-54.844204
136,99.891731,29.505148,-10.498014,-54.848572
137,99.902046,29.505117,-9.497854,-54.852848
138,99.912354,29.505087,-8.498434,-54.857037
139,99.922668,29.505054,-7.498272,-54.861347
140,99.932983,29.505020,-6.498110,-54.865776
141,99.943298,29.504986,-5.497948,-54.870121
142,99.953606,29.504951,-4.498524,-54.874374
143,99.963921,29.504917,-3.498360,-54.878540
144,99.974236,29.504879,-2.498196,-54.883034
145,99.984550,29.504843,-1.498030,-54.887230
146,99.994865,29.504805,-0.497864,-54.891548
147,100.005173,29.504766,0.501563,-54.895779
148,100.015488,29.504726,1.501731,-54.900124
149,100.025803,29.504686,2.501899,-54.904388
150,100.036118,29.504644,3.502069,-54.908768
151,100.046425,29.504602,4.501499,-54.913063
152,100.056740,29.504560,5.501670,-54.917267
153,100.067055,29.504517,6.501842,-54.921589
154,100.077370,29.504473,7.502014,-54.925823
155,100.087685,29.504427,8.502188,-54.930183
156,100.097992,29.504381,9.501622,-54.934452
157,100.108307,29.504333,10.501798,-54.938839
158,100.118622,29.504286,11.501975,-54.943142
159,100.128937,29.504238,12.502151,-54.947353
160,100.139244,29.504189,13.501590,-54.951683
161,100.149559,29.504139,14.501769,-54.955929
162,100.159874,29.504089,15.501949,-54.960083
163,100.170189,29.504038,16.502131,-54.964355
164,100.180496,29.503984,17.501572,-54.968754
165,100.190811,29.503931,18.501757,-54.973061
166,100.201126,29.503878,19.501940,-54.977280
167,100.211441,29.503822,20.502125,-54.981617
168,100.221748,29.503767,21.501572,-54.985870
169,100.232063,29.503710,22.501760,-54.990242
170,100.242378,29.503654,23.501949,-54.994312
171,100.252693,29.503595,24.502138,-54.998718
172,100.263000,29.503536,25.501591,-55.003036
173,100.273315,29.503477,26.501781,-55.007259
174,100.283630,29.503416,27.501974,-55.011604
175,100.293945,29.503355,28.502171,-55.015862
176,100.304253,29.503294,29.501625,-55.020035
177,100.314568,29.503231,30.501822,-55.024323
178,100.324883,29.503168,31.502022,-55.028522
179,100.335197,29.503103,32.502220,-55.032845
180,100.345505,29.503038,33.501678,-55.037079
181,100.355820,29.502972,34.501884,-55.041435
182,100.366135,29.502905,35.502087,-55.045700
183,100.376450,29.502838,36.502293,-55.049873
184,100.386757,29.502769,37.501759,-55.054173
185,100.397072,29.502701,38.501965,-55.058380
186,100.407387,29.502630,39.502171,-55.062710
