Site_ID,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10
1,0.091599,0.170071,0.080422,0.226023,0.186858,0.076229,0.095663,0.248150,0.055052,0.064503
2,0.150752,0.234906,0.096076,0.277694,0.211753,0.082070,0.134944,0.307934,0.090056,0.109156
3,0.105279,0.222322,0.172235,0.270416,0.349798,0.079771,0.129824,0.218969,0.134677,0.099738
4,0.087969,0.143143,0.215586,0.382386,0.226212,0.088039,0.175255,0.225689,0.126069,0.094087
5,0.074823,0.138090,0.140817,0.269620,0.213456,0.115915,0.371467,0.333825,0.049875,0.033075
6,0.126638,0.168778,0.127948,0.293651,0.179115,0.131199,0.213660,0.574115,0.140321,0.069925
7,0.111140,0.129759,0.115475,0.276017,0.167871,0.121621,0.217721,0.270904,0.103595,0.063009
8,0.105437,0.079165,0.142826,0.264623,0.144831,0.148078,0.380228,0.144398,0.197937,0.091050
9,0.087681,0.151273,0.110827,0.286745,0.291516,0.093353,0.217274,0.299365,0.135099,0.120374
10,0.114135,0.142767,0.149972,0.370882,0.132545,0.149911,0.347130,0.273092,0.170933,0.091732
11,0.076740,0.071298,0.266397,0.267674,0.082842,0.075659,0.796354,0.292538,0.197669,0.147531
12,0.073065,0.113525,0.211110,0.209698,0.096524,0.098602,0.717657,0.396241,0.129918,0.188515
13,0.098672,0.088914,0.207870,0.233664,0.068359,0.081785,0.674402,0.355008,0.268923,0.189969
14,0.139501,0.076016,0.202426,0.112608,0.136661,0.101478,0.470730,0.206173,0.238776,0.154246
15,0.066500,0.069110,0.145608,0.176738,0.130294,0.160663,0.533380,0.319371,0.242670,0.103089
16,0.080550,0.110285,0.116844,0.139939,0.109050,0.226688,0.174032,0.242261,0.397368,0.060209
17,0.124690,0.139095,0.129181,0.147800,0.107067,0.205511,0.255001,0.178507,0.191812,0.102385
18,0.074042,0.096463,0.211767,0.137331,0.063467,0.100080,0.224052,0.279308,0.166872,0.111576
19,0.112386,0.107913,0.189943,0.106512,0.053488,0.135414,0.206010,0.174176,0.146264,0.075382
20,0.271441,0.100704,0.149452,0.120736,0.145449,0.176171,0.144379,0.181019,0.134352,0.139635
21,0.158638,0.112354,0.317937,0.115293,0.119783,0.223360,0.168960,0.132034,0.067571,0.104100
22,0.165029,0.133664,0.194964,0.130277,0.169385,0.294591,0.434857,0.147244,0.088010,0.151981
23,0.201279,0.077436,0.230909,0.096229,0.146643,0.142554,0.378238,0.144239,0.072518,0.136757
24,0.177381,0.093145,0.201344,0.094952,0.126172,0.096003,0.210981,0.321257,0.073024,0.159883
25,0.311760,0.080157,0.180904,0.090319,0.132117,0.150302,0.278833,0.397007,0.063296,0.144492
26,0.104527,0.110161,0.208800,0.090488,0.206179,0.248354,0.177372,0.255180,0.065628,0.186812
27,0.150020,0.076439,0.092366,0.131274,0.121623,0.205948,0.183470,0.188134,0.085450,0.081642
28,0.166778,0.074867,0.129981,0.083504,0.192891,0.153993,0.143960,0.261359,0.086581,0.034946
29,0.150757,0.233651,0.306565,0.100564,0.138431,0.117945,0.105661,0.201256,0.066748,0.075907
30,0.095517,0.155575,0.196503,0.073181,0.187808,0.146711,0.239147,0.171733,0.064960,0.056634
31,0.195490,0.087824,0.234823,0.078591,0.341412,0.073015,0.083988,0.342973,0.154569,0.082999
32,0.085169,0.141583,0.314443,0.110179,0.164242,0.139355,0.102528,0.218972,0.180909,0.104191
33,0.115003,0.145215,0.126624,0.076235,0.147379,0.081835,0.111208,0.215132,0.193873,0.085816
34,0.111188,0.191656,0.369014,0.159353,0.198518,0.091906,0.308823,0.193355,0.125183,0.084767
35,0.106253,0.154848,0.309942,0.102006,0.104225,0.123656,0.249905,0.241441,0.162852,0.104359
36,0.086607,0.141412,0.281855,0.082182,0.060730,0.118432,0.161050,0.182709,0.132696,0.127711
