Site_ID,Period,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10
55,0.000000,0.104727,0.086002,0.191723,0.057702,0.098964,0.072759,0.092451,0.063253,0.113132,0.028773
56,0.000000,0.123111,0.084469,0.214054,0.033718,0.094829,0.127539,0.064216,0.066389,0.159326,0.034133
57,0.000000,0.071927,0.108918,0.233966,0.072048,0.127200,0.094109,0.077186,0.110386,0.244321,0.026198
58,0.000000,0.087598,0.054993,0.211200,0.061275,0.167477,0.158757,0.049245,0.133582,0.161186,0.025377
59,0.000000,0.071131,0.121160,0.192593,0.060591,0.099264,0.045809,0.068397,0.118489,0.196288,0.037778
60,0.000000,0.075743,0.140240,0.113212,0.076750,0.123762,0.081421,0.109980,0.153309,0.175254,0.038597
61,0.000000,0.143629,0.155398,0.126593,0.038730,0.085691,0.058550,0.083655,0.129789,0.138099,0.032710
62,0.000000,0.085450,0.122374,0.135446,0.069862,0.084123,0.067561,0.074837,0.142703,0.139168,0.032953
63,0.000000,0.119120,0.109782,0.215615,0.076326,0.098727,0.075887,0.048650,0.146385,0.141856,0.036929
64,0.000000,0.085151,0.066114,0.159160,0.077422,0.119926,0.084007,0.079345,0.126133,0.117409,0.034290
65,0.000000,0.105470,0.062312,0.177227,0.106453,0.088711,0.061722,0.038067,0.183378,0.095533,0.028765
66,0.000000,0.087393,0.092075,0.134872,0.080966,0.116195,0.114189,0.065892,0.094871,0.115178,0.065616
67,0.000000,0.101040,0.170410,0.225723,0.040706,0.164271,0.128352,0.047315,0.158108,0.100905,0.055213
68,0.000000,0.070129,0.171700,0.209894,0.089914,0.177978,0.067154,0.056929,0.121572,0.066693,0.052469
69,0.000000,0.082258,0.096087,0.130003,0.056496,0.106499,0.111616,0.086170,0.203109,0.099744,0.058182
70,0.000000,0.109695,0.189043,0.133773,0.067187,0.140443,0.099736,0.046250,0.181757,0.064276,0.039128
71,0.000000,0.085869,0.173917,0.127627,0.157607,0.170796,0.177652,0.042926,0.171719,0.078324,0.044414
72,0.000000,0.080737,0.141370,0.123566,0.092938,0.206035,0.079279,0.074385,0.163188,0.144417,0.051683
73,0.000000,0.078998,0.148484,0.154965,0.102894,0.131410,0.073185,0.052295,0.126014,0.085532,0.033135
74,0.000000,0.125562,0.139599,0.140532,0.116561,0.131039,0.187163,0.038215,0.116247,0.104652,0.030646
75,0.000000,0.080560,0.114826,0.234236,0.088094,0.062418,0.093805,0.061689,0.217762,0.103588,0.030539
76,0.000000,0.049185,0.154540,0.213953,0.053148,0.070066,0.118629,0.038529,0.208685,0.177665,0.016277
77,0.000000,0.055655,0.141948,0.153611,0.072248,0.070814,0.083635,0.035111,0.111494,0.190554,0.029353
78,0.000000,0.066850,0.088969,0.265989,0.060901,0.097806,0.137689,0.050857,0.124140,0.144604,0.030233
79,0.000000,0.083837,0.089691,0.107338,0.088439,0.077754,0.112518,0.054637,0.116795,0.146119,0.020001
80,0.000000,0.070649,0.121206,0.172707,0.096702,0.085811,0.101401,0.057697,0.105650,0.121212,0.030687
81,0.000000,0.101022,0.094335,0.223475,0.078535,0.094608,0.111916,0.064243,0.063638,0.140526,0.025558
82,0.000000,0.092702,0.125542,0.228181,0.111135,0.102874,0.096399,0.053761,0.069400,0.077637,0.020555
83,0.000000,0.091347,0.137596,0.188029,0.086393,0.062274,0.060509,0.044566,0.062517,0.089937,0.064227
84,0.000000,0.083603,0.097140,0.317390,0.106614,0.090071,0.114225,0.066201,0.088255,0.141785,0.043029
85,0.000000,0.089189,0.118914,0.441470,0.111981,0.081925,0.114046,0.062378,0.101489,0.144305,0.023960
86,0.000000,0.056711,0.106388,0.317232,0.081360,0.067082,0.064323,0.045299,0.084938,0.156321,0.033281
87,0.000000,0.045419,0.108202,0.285844,0.093473,0.047809,0.050571,0.042540,0.099684,0.184265,0.066612
88,0.000000,0.031754,0.082622,0.179753,0.079156,0.065157,0.052752,0.052788,0.106703,0.131727,0.056821
89,0.000000,0.031880,0.124337,0.199845,0.099108,0.079343,0.079895,0.046614,0.180256,0.082132,0.019351
90,0.000000,0.032957,0.148054,0.172908,0.107772,0.084318,0.086417,0.076625,0.272329,0.144597,0.017093
91,0.000000,0.032025,0.093100,0.192250,0.120845,0.076652,0.061695,0.083941,0.230512,0.150788,0.017648
92,0.000000,0.035514,0.112003,0.308443,0.086476,0.081316,0.062623,0.063483,0.138819,0.133050,0.018377
93,0.000000,0.053697,0.062412,0.275333,0.147111,0.098287,0.059928,0.095504,0.147321,0.150381,0.016889
94,0.000000,0.057010,0.099765,0.200528,0.102582,0.145412,0.102173,0.089767,0.107187,0.137985,0.017203
95,0.000000,0.054428,0.238031,0.267356,0.121017,0.182910,0.078454,0.068613,0.139982,0.131717,0.016188
96,0.000000,0.080273,0.170004,0.208279,0.141077,0.211369,0.082715,0.093332,0.098523,0.103985,0.015655
97,0.000000,0.056295,0.111270,0.221419,0.118754,0.155037,0.083258,0.042683,0.095030,0.090847,0.017162
98,0.000000,0.076193,0.187779,0.171044,0.154799,0.149894,0.046196,0.047859,0.084709,0.075161,0.014416
99,0.000000,0.080236,0.092917,0.070942,0.150023,0.273651,0.118102,0.064175,0.117985,0.057372,0.033131
100,0.000000,0.063348,0.074315,0.110909,0.138839,0.211682,0.080710,0.074541,0.183353,0.061946,0.041654
101,0.000000,0.068235,0.103554,0.089770,0.123615,0.150461,0.057861,0.130784,0.117390,0.045646,0.015570
102,0.000000,0.056381,0.113533,0.048780,0.221682,0.100904,0.070794,0.148315,0.148120,0.041283,0.027245
103,0.000000,0.046176,0.125423,0.051284,0.199471,0.168303,0.077331,0.158468,0.124215,0.053947,0.026838
104,0.000000,0.051798,0.100924,0.090574,0.177645,0.171214,0.061265,0.169643,0.112589,0.071774,0.036228
105,0.000000,0.062363,0.118932,0.078424,0.118202,0.162796,0.114382,0.147352,0.130969,0.077859,0.019528
106,0.000000,0.056575,0.087093,0.117177,0.132302,0.165997,0.057408,0.205930,0.171687,0.076911,0.041660
107,0.000000,0.057086,0.138443,0.066731,0.114642,0.114004,0.053957,0.068590,0.179571,0.110139,0.046611
108,0.000000,0.053102,0.123003,0.055268,0.202699,0.166704,0.041544,0.165668,0.120939,0.132325,0.032603
