Site_ID,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10
1,0.087739,0.165925,0.087106,0.192843,0.178417,0.068515,0.085902,0.231727,0.047948,0.065281
2,0.163690,0.223579,0.102573,0.244930,0.183079,0.065049,0.119058,0.330238,0.081659,0.105312
3,0.114168,0.230065,0.194242,0.238909,0.285178,0.081959,0.135175,0.203527,0.123530,0.107031
4,0.084505,0.132179,0.208798,0.347448,0.201025,0.076713,0.208321,0.200157,0.097102,0.093304
5,0.080249,0.129271,0.173990,0.217390,0.169228,0.099556,0.351533,0.323819,0.044742,0.032953
6,0.113802,0.147987,0.132967,0.289427,0.141319,0.138217,0.230953,0.437378,0.122746,0.064705
7,0.104065,0.137281,0.113976,0.246381,0.153038,0.109907,0.237506,0.266972,0.088919,0.054908
8,0.107762,0.082741,0.153234,0.215544,0.134865,0.136747,0.427081,0.156278,0.166052,0.090875
9,0.088753,0.133201,0.109543,0.234865,0.254794,0.086609,0.272188,0.292917,0.136050,0.133152
10,0.102749,0.119133,0.158589,0.337003,0.102018,0.138849,0.347464,0.317180,0.158103,0.096267
11,0.072931,0.072588,0.278042,0.230731,0.066133,0.075098,0.770812,0.297477,0.171809,0.138366
12,0.082253,0.107257,0.206880,0.181325,0.080126,0.088321,0.702889,0.508827,0.097297,0.202234
13,0.091799,0.083148,0.242773,0.201782,0.067045,0.070159,0.740521,0.412812,0.247452,0.173596
14,0.122876,0.062779,0.220792,0.107471,0.126282,0.082062,0.457460,0.173127,0.219773,0.167227
15,0.062618,0.064930,0.161310,0.133516,0.115570,0.139964,0.673939,0.346995,0.234659,0.099123
16,0.068612,0.104052,0.129142,0.097320,0.084932,0.163666,0.185399,0.250659,0.378305,0.059185
17,0.110391,0.112350,0.137196,0.124941,0.096171,0.199061,0.218471,0.179062,0.193924,0.096669
18,0.077040,0.094329,0.229982,0.112730,0.054589,0.087850,0.232005,0.305349,0.137637,0.105850
19,0.104018,0.105251,0.184292,0.084651,0.048960,0.131866,0.231337,0.176476,0.117211,0.079951
20,0.238645,0.107649,0.158197,0.088229,0.127618,0.151107,0.148449,0.200569,0.123181,0.128255
21,0.142814,0.115686,0.308970,0.086678,0.106773,0.209888,0.170510,0.132209,0.062497,0.095406
22,0.165975,0.138650,0.196173,0.099121,0.161563,0.282888,0.404113,0.137526,0.071252,0.132991
23,0.189633,0.071508,0.229993,0.081479,0.138038,0.126539,0.356056,0.129137,0.058480,0.150147
24,0.169658,0.081641,0.212542,0.088018,0.118319,0.088083,0.226178,0.280116,0.064114,0.207042
25,0.287958,0.092509,0.175136,0.076038,0.128439,0.130133,0.249099,0.414808,0.059942,0.142465
26,0.092671,0.111775,0.201295,0.072369,0.198053,0.217652,0.181211,0.239651,0.059504,0.187078
27,0.147304,0.072105,0.079493,0.109931,0.116948,0.208771,0.203410,0.193602,0.071321,0.069050
28,0.156896,0.071363,0.141260,0.079194,0.199563,0.145847,0.127398,0.233147,0.075436,0.037529
29,0.131984,0.195018,0.330722,0.090201,0.143028,0.115608,0.090690,0.186448,0.061811,0.068133
30,0.103567,0.162810,0.190975,0.059862,0.170873,0.133039,0.239410,0.151655,0.044260,0.057120
31,0.187507,0.086699,0.233624,0.065760,0.298244,0.072100,0.092732,0.304774,0.123277,0.085852
32,0.077791,0.130745,0.357590,0.090463,0.171771,0.120069,0.096879,0.225789,0.169188,0.100952
33,0.102065,0.134291,0.115980,0.059469,0.167653,0.076350,0.101900,0.171430,0.148956,0.080733
34,0.100663,0.163791,0.358414,0.117375,0.214852,0.103932,0.269407,0.178515,0.096053,0.078391
35,0.111135,0.131954,0.291949,0.092475,0.101594,0.121411,0.214139,0.203005,0.127320,0.104150
36,0.095480,0.158024,0.276028,0.071103,0.070371,0.131516,0.147624,0.150310,0.124861,0.127820
37,0.083986,0.101503,0.137764,0.091137,0.094729,0.124508,0.144723,0.169430,0.102879,0.033445
38,0.127591,0.088438,0.204211,0.056452,0.147153,0.163643,0.252287,0.149617,0.079513,0.068039
39,0.117621,0.080765,0.217241,0.087674,0.131273,0.177357,0.074688,0.134370,0.111138,0.142677
40,0.077338,0.130530,0.266159,0.106139,0.116969,0.130837,0.195958,0.146318,0.074076,0.181857
41,0.072876,0.072940,0.340799,0.061898,0.129806,0.219516,0.249985,0.094640,0.070923,0.068559
42,0.083693,0.079243,0.843309,0.175496,0.354109,0.131370,0.173502,0.070832,0.052597,0.144504
43,0.062559,0.091886,0.384069,0.092969,0.142104,0.177974,0.147807,0.132656,0.087627,0.493709
44,0.055500,0.060705,0.634443,0.104945,0.126832,0.220463,0.317122,0.236750,0.142581,0.173948
45,0.121024,0.057260,0.243337,0.119558,0.129553,0.254304,0.105265,0.166414,0.073835,0.144132
46,0.091066,0.043794,0.316224,0.150471,0.145952,0.249736,0.115229,0.276375,0.157751,0.154583
47,0.054876,0.039235,0.260208,0.179583,0.155292,0.289220,0.104263,0.214112,0.155388,0.236150
48,0.081278,0.043264,0.536425,0.252591,0.154402,0.122033,0.053329,0.217340,0.216955,0.077990
49,0.085610,0.029349,0.279318,0.225475,0.114935,0.076855,0.053875,0.282463,0.106405,0.077993
50,0.063965,0.080363,0.379358,0.241415,0.113809,0.156180,0.069783,0.189140,0.134239,0.131457
51,0.072123,0.047964,0.401077,0.363866,0.087011,0.104224,0.081411,0.192189,0.213631,0.106996
52,0.082199,0.059713,0.372658,0.150018,0.111225,0.085100,0.046859,0.185908,0.143319,0.150206
53,0.149811,0.062766,0.444310,0.230986,0.071115,0.234548,0.051868,0.299710,0.196491,0.160869
54,0.112677,0.069011,0.653726,0.121019,0.071808,0.168665,0.106293,0.088321,0.183948,0.106085
55,0.168634,0.145866,0.307022,0.101939,0.209880,0.148311,0.127575,0.071371,0.148974,0.083529
56,0.140904,0.143186,0.296729,0.065574,0.119760,0.285808,0.083862,0.078826,0.227137,0.104953
57,0.073100,0.196217,0.364368,0.156048,0.191483,0.188968,0.142447,0.162902,0.356231,0.109817
58,0.082195,0.088033,0.317085,0.132764,0.194183,0.297906,0.112430,0.171879,0.211625,0.071234
59,0.124197,0.258361,0.350554,0.115746,0.124859,0.068422,0.215422,0.161330,0.248286,0.129083
60,0.105178,0.186476,0.263880,0.121284,0.148468,0.147629,0.277223,0.240709,0.225148,0.133828
61,0.210939,0.260056,0.151807,0.044961,0.112979,0.122620,0.185497,0.147818,0.134050,0.101162
62,0.095135,0.259457,0.190090,0.110183,0.106678,0.149787,0.084853,0.235973,0.122293,0.116840
63,0.136718,0.210361,0.245828,0.116169,0.153433,0.167524,0.076877,0.226016,0.140878,0.153526
64,0.112837,0.098685,0.147235,0.094327,0.164196,0.243712,0.124981,0.183660,0.146679,0.086766
65,0.159525,0.090861,0.197565,0.156632,0.130546,0.148556,0.055418,0.240538,0.142114,0.094458
66,0.114278,0.149732,0.147740,0.099106,0.149578,0.248652,0.133260,0.138060,0.155350,0.254753
67,0.145253,0.289217,0.263430,0.055179,0.243936,0.251813,0.073377,0.173245,0.135987,0.225355
