Site_ID,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10
1,0.005910,0.019998,0.001972,0.001999,0.023246,0.002660,0.008461,0.013345,0.009688,0.017075
2,0.010132,0.016420,0.003413,0.001826,0.018123,0.002132,0.009482,0.024629,0.022538,0.008760
3,0.010511,0.011339,0.004577,0.001696,0.034795,0.004333,0.014831,0.023608,0.018591,0.011114
4,0.006179,0.006314,0.004551,0.002043,0.033033,0.004095,0.020714,0.021252,0.011261,0.008654
5,0.007532,0.009630,0.004035,0.002565,0.040160,0.004444,0.013097,0.027753,0.014011,0.007334
6,0.007273,0.013648,0.003486,0.002212,0.050381,0.002810,0.011757,0.017652,0.028183,0.005332
7,0.005985,0.016712,0.003969,0.003214,0.084312,0.003543,0.011293,0.013226,0.011967,0.007776
8,0.007847,0.009686,0.005358,0.002610,0.052458,0.004162,0.015504,0.024176,0.015913,0.016377
9,0.009599,0.013955,0.005108,0.002208,0.067814,0.003350,0.017412,0.015746,0.022544,0.017604
10,0.005571,0.011148,0.007019,0.007135,0.019071,0.006660,0.015472,0.021786,0.016561,0.012744
11,0.008862,0.014725,0.006777,0.004936,0.023258,0.004408,0.014002,0.024072,0.012887,0.010500
12,0.006810,0.016163,0.005236,0.001868,0.025233,0.003817,0.013547,0.024683,0.010121,0.015633
13,0.006227,0.014397,0.010002,0.003319,0.040877,0.004977,0.019332,0.023257,0.024883,0.011965
14,0.005704,0.010205,0.014506,0.002414,0.053083,0.006093,0.010040,0.009234,0.022058,0.015037
15,0.003601,0.017358,0.006675,0.002541,0.051056,0.007356,0.023016,0.019491,0.030633,0.011184
16,0.003459,0.012812,0.008375,0.002105,0.029511,0.006372,0.011436,0.010704,0.040470,0.007493
17,0.005944,0.011589,0.009597,0.002715,0.040058,0.006446,0.010958,0.015915,0.032161,0.006325
18,0.007179,0.015870,0.009342,0.002701,0.026610,0.006277,0.019276,0.041237,0.040004,0.009264
19,0.008240,0.011955,0.007041,0.002104,0.044705,0.010995,0.024417,0.035681,0.022787,0.006666
20,0.006932,0.014561,0.007467,0.002423,0.048245,0.012878,0.011585,0.020808,0.048896,0.006794
21,0.007611,0.018496,0.006511,0.002841,0.044524,0.010001,0.008266,0.015680,0.027697,0.010916
22,0.017392,0.028023,0.008716,0.002814,0.046733,0.011090,0.009574,0.010029,0.022976,0.011228
23,0.012672,0.012487,0.006861,0.005105,0.043655,0.006414,0.008999,0.015479,0.028216,0.019916
24,0.007757,0.013894,0.007488,0.008515,0.037647,0.005458,0.005894,0.018659,0.023110,0.025601
