Site_ID,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10
1,0.076408,0.150619,0.084864,0.141765,0.159123,0.057481,0.062592,0.184882,0.037829,0.057803
2,0.168289,0.174739,0.102793,0.195966,0.152132,0.040449,0.088680,0.324065,0.063322,0.079692
3,0.125788,0.211291,0.205371,0.172867,0.197761,0.077936,0.124997,0.169735,0.088955,0.095538
4,0.071781,0.103788,0.172228,0.250175,0.160268,0.062233,0.242544,0.157668,0.058260,0.079726
5,0.087616,0.103624,0.207981,0.143251,0.125385,0.077032,0.267912,0.268369,0.039000,0.031449
6,0.091292,0.109756,0.129426,0.245454,0.098632,0.138282,0.225506,0.245802,0.093006,0.051754
7,0.093974,0.145366,0.101381,0.186440,0.136656,0.093098,0.234825,0.225473,0.063972,0.041561
8,0.110277,0.084232,0.152872,0.147092,0.126371,0.108400,0.398808,0.159779,0.116948,0.080521
9,0.088895,0.105247,0.104063,0.162954,0.197986,0.069955,0.295408,0.236340,0.130000,0.133956
10,0.087832,0.085259,0.165918,0.266843,0.069767,0.106243,0.261299,0.331895,0.116754,0.100711
11,0.065995,0.075568,0.271072,0.173431,0.048987,0.069546,0.502221,0.260074,0.123905,0.110575
12,0.104549,0.102283,0.187562,0.139644,0.065876,0.072014,0.471505,0.628694,0.060041,0.195072
13,0.084663,0.080492,0.280531,0.152111,0.070653,0.051553,0.632007,0.424479,0.194294,0.135657
14,0.094932,0.045682,0.217183,0.099460,0.124991,0.058799,0.340256,0.111017,0.182129,0.170972
15,0.055835,0.063003,0.164103,0.087078,0.101103,0.111553,0.751021,0.349407,0.209702,0.085505
16,0.056968,0.092944,0.141939,0.055414,0.058115,0.094526,0.176123,0.213254,0.329239,0.054888
17,0.094743,0.079941,0.153950,0.091297,0.083567,0.172130,0.141474,0.157188,0.190278,0.079493
18,0.083613,0.093253,0.248653,0.078787,0.049225,0.073621,0.216219,0.288420,0.099928,0.091554
19,0.099274,0.099687,0.166770,0.058313,0.047116,0.116107,0.240889,0.158724,0.079434,0.077431
20,0.197963,0.119701,0.168200,0.052817,0.103225,0.106028,0.135382,0.206306,0.108259,0.094925
21,0.118854,0.117252,0.283774,0.054917,0.092858,0.169899,0.149522,0.114707,0.054495,0.069601
22,0.155561,0.150874,0.183943,0.061447,0.148405,0.220600,0.297623,0.105844,0.052400,0.087363
23,0.170211,0.065822,0.217546,0.063618,0.125856,0.091312,0.277017,0.093133,0.044725,0.143285
24,0.147061,0.068415,0.206102,0.078734,0.112226,0.069623,0.216062,0.186761,0.057401,0.259990
25,0.241385,0.113413,0.153748,0.055778,0.125323,0.088542,0.174390,0.372536,0.060535,0.116882
26,0.074791,0.111125,0.177120,0.050510,0.172593,0.142131,0.163242,0.188590,0.054143,0.150470
