Site_ID,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10
1,0.046750,0.107807,0.035654,0.120197,0.197823,0.053170,0.045932,0.167612,0.040878,0.022975
2,0.088085,0.098649,0.054853,0.192212,0.207442,0.033238,0.085467,0.239043,0.054126,0.027991
3,0.071257,0.100358,0.085774,0.103554,0.270986,0.042119,0.076088,0.196355,0.051605,0.026009
4,0.039027,0.075909,0.082802,0.155907,0.162725,0.052880,0.140941,0.170869,0.051666,0.035770
5,0.050041,0.071774,0.081839,0.120087,0.225805,0.054169,0.165143,0.225368,0.046945,0.016504
6,0.071327,0.075587,0.085279,0.155738,0.156492,0.078685,0.130622,0.276429,0.095656,0.026013
7,0.067719,0.112123,0.071238,0.124896,0.157523,0.076677,0.134987,0.164517,0.073045,0.025635
8,0.082359,0.064760,0.077499,0.132330,0.180138,0.060854,0.156491,0.101493,0.130676,0.031501
9,0.064171,0.108419,0.066338,0.151744,0.217283,0.043658,0.075607,0.140081,0.104291,0.050721
10,0.077943,0.087262,0.112988,0.197683,0.114261,0.058721,0.103128,0.142104,0.092686,0.053823
11,0.043558,0.065534,0.170576,0.148727,0.062773,0.040844,0.186821,0.131724,0.112114,0.058692
12,0.073273,0.123254,0.167603,0.141171,0.108639,0.055303,0.198662,0.250686,0.073705,0.073503
13,0.083135,0.097780,0.138056,0.130172,0.094949,0.034540,0.259203,0.182637,0.134917,0.066734
14,0.082483,0.045075,0.089795,0.082048,0.175051,0.065878,0.214728,0.088550,0.164275,0.074572
15,0.047177,0.059272,0.077397,0.103566,0.122744,0.112347,0.229950,0.216806,0.166033,0.048523
16,0.070395,0.085752,0.079408,0.089627,0.086338,0.110396,0.102336,0.110763,0.270480,0.031458
17,0.092582,0.092778,0.096480,0.102392,0.111234,0.113263,0.102603,0.109070,0.190030,0.039159
18,0.075296,0.089094,0.143632,0.072335,0.084315,0.070718,0.156089,0.143749,0.137145,0.043981
19,0.135281,0.080065,0.130044,0.064756,0.060659,0.070707,0.118506,0.100633,0.109952,0.024370
20,0.228797,0.088827,0.109197,0.067541,0.115563,0.072568,0.079297,0.116115,0.122952,0.033114
21,0.106617,0.089117,0.248277,0.070964,0.108033,0.115641,0.093006,0.070441,0.063094,0.025947
22,0.099589,0.120409,0.125041,0.058148,0.133685,0.107647,0.204022,0.090196,0.079385,0.032429
23,0.130792,0.072822,0.146256,0.052114,0.112606,0.056948,0.201426,0.076205,0.072164,0.041330
24,0.105600,0.063291,0.125119,0.063720,0.119136,0.046779,0.122679,0.153944,0.079763,0.064041
25,0.207231,0.070894,0.144514,0.038990,0.099127,0.045363,0.106794,0.226378,0.090798,0.044291
26,0.067822,0.074984,0.141129,0.045747,0.144399,0.080681,0.103881,0.147113,0.074353,0.049638
27,0.108292,0.062011,0.085357,0.049912,0.074697,0.071428,0.105439,0.105757,0.079023,0.022822
28,0.112034,0.057546,0.088282,0.043507,0.164056,0.074644,0.062284,0.097111,0.091260,0.013998
29,0.094250,0.100199,0.159251,0.054171,0.103496,0.058762,0.063041,0.084463,0.064466,0.022900
30,0.083459,0.131520,0.094322,0.036838,0.100905,0.079953,0.138089,0.080284,0.038053,0.020989
31,0.118136,0.084032,0.128321,0.044262,0.114790,0.034374,0.068662,0.153429,0.107427,0.034541
32,0.090137,0.100957,0.159105,0.053563,0.095676,0.066006,0.074782,0.151709,0.130653,0.032587
33,0.081811,0.098554,0.071042,0.039586,0.113387,0.028686,0.065254,0.074889,0.105280,0.023160
34,0.092259,0.116888,0.172731,0.069116,0.141619,0.044513,0.177593,0.125080,0.090054,0.026956
35,0.110858,0.118247,0.146235,0.062766,0.067507,0.064202,0.132094,0.112989,0.100999,0.041098
36,0.079188,0.100396,0.155081,0.053619,0.043332,0.078011,0.101722,0.094474,0.104119,0.041287
37,0.056910,0.084237,0.143282,0.070331,0.051430,0.061335,0.098620,0.108788,0.084774,0.016601
38,0.090485,0.082850,0.122465,0.048965,0.068189,0.065343,0.133799,0.125120,0.065220,0.026974
39,0.100457,0.083600,0.165849,0.066512,0.052852,0.072736,0.055526,0.086342,0.094197,0.040404
40,0.073708,0.103468,0.233684,0.080252,0.086790,0.064198,0.139353,0.108579,0.079755,0.046419
41,0.088651,0.064275,0.233353,0.059399,0.070926,0.123074,0.159064,0.070388,0.079242,0.025857
42,0.075462,0.077739,0.411374,0.147855,0.137587,0.060756,0.109120,0.057686,0.082749,0.034322
43,0.054648,0.086231,0.237954,0.063008,0.082947,0.090115,0.121940,0.086278,0.130797,0.084415
44,0.063023,0.065984,0.296386,0.082087,0.087371,0.135846,0.183191,0.115571,0.127803,0.030649
45,0.107224,0.048520,0.169390,0.084294,0.086288,0.089097,0.092293,0.099510,0.071372,0.036509
46,0.082030,0.053072,0.217252,0.093028,0.085107,0.112587,0.069709,0.207680,0.148621,0.040687
47,0.056451,0.057341,0.153226,0.128286,0.086694,0.145354,0.065184,0.111939,0.126845,0.063455
48,0.067578,0.041300,0.242402,0.151107,0.078621,0.059149,0.044114,0.137859,0.160497,0.026155
49,0.089652,0.039753,0.152757,0.106348,0.068998,0.054986,0.041037,0.169252,0.104143,0.023772
50,0.072857,0.076536,0.151274,0.093860,0.074496,0.083510,0.051476,0.161153,0.137432,0.040168
51,0.068004,0.042799,0.155663,0.167783,0.070992,0.065444,0.070353,0.158670,0.098373,0.038704
52,0.065207,0.076173,0.185606,0.079107,0.075877,0.048944,0.042056,0.145434,0.110918,0.055968
53,0.108010,0.062830,0.233631,0.124751,0.049113,0.093195,0.051947,0.205913,0.149220,0.064489
