Site_ID,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10
1,0.074557,0.159291,0.046026,0.174419,0.325433,0.088542,0.066462,0.272917,0.061085,0.029816
2,0.142996,0.135118,0.075494,0.302531,0.319320,0.050237,0.135037,0.387192,0.075488,0.034813
3,0.116466,0.134536,0.109773,0.135914,0.408443,0.061905,0.110699,0.345460,0.063177,0.030965
4,0.060014,0.116027,0.101260,0.216622,0.228158,0.081247,0.217173,0.279866,0.065893,0.049441
5,0.082367,0.107031,0.111196,0.167156,0.361622,0.075780,0.228174,0.361762,0.073432,0.023888
6,0.120520,0.104545,0.126659,0.229067,0.240346,0.121414,0.192299,0.429290,0.138849,0.035952
7,0.111531,0.183314,0.105265,0.169914,0.226945,0.120686,0.200007,0.256866,0.114179,0.036354
8,0.147665,0.108064,0.104237,0.190975,0.294535,0.084635,0.204790,0.154713,0.194557,0.040008
9,0.112475,0.178346,0.090461,0.223814,0.307374,0.064541,0.088921,0.199537,0.150412,0.069503
10,0.137926,0.139401,0.166446,0.277804,0.179318,0.082001,0.126519,0.197066,0.133291,0.079795
11,0.070197,0.109393,0.244334,0.215280,0.089179,0.060689,0.225655,0.175945,0.158889,0.083342
12,0.134617,0.222754,0.270086,0.226218,0.175266,0.085144,0.256526,0.359356,0.105165,0.098027
13,0.156810,0.174573,0.191118,0.191200,0.157551,0.048858,0.347271,0.256121,0.172986,0.088399
14,0.146997,0.070050,0.110442,0.127117,0.274989,0.109532,0.320960,0.131855,0.233974,0.105958
15,0.087565,0.094164,0.104786,0.157704,0.180064,0.187067,0.291463,0.332574,0.229082,0.071682
16,0.139202,0.141928,0.111670,0.150161,0.131187,0.173353,0.151677,0.160356,0.371126,0.047461
17,0.167599,0.151120,0.132907,0.170660,0.176247,0.174225,0.145710,0.169349,0.300661,0.054733
18,0.149920,0.150360,0.199619,0.107211,0.141044,0.115031,0.244327,0.203451,0.213621,0.059075
19,0.290110,0.127335,0.193379,0.101823,0.093252,0.103905,0.164769,0.147209,0.173126,0.030426
20,0.446503,0.144159,0.157363,0.106525,0.167277,0.103060,0.114533,0.174827,0.187057,0.039458
21,0.191598,0.143506,0.387169,0.113909,0.158304,0.176441,0.138024,0.104137,0.100927,0.031759
22,0.166502,0.191478,0.180114,0.082697,0.186229,0.146603,0.300051,0.150348,0.128342,0.038659
23,0.222022,0.126537,0.206446,0.071927,0.154395,0.082245,0.303702,0.119222,0.116938,0.050792
24,0.183338,0.097112,0.181516,0.092754,0.173955,0.071104,0.184732,0.237801,0.127608,0.081487
25,0.372690,0.114119,0.238799,0.051051,0.130276,0.059136,0.146760,0.336761,0.161348,0.056510
26,0.123401,0.111616,0.215166,0.064972,0.200286,0.112270,0.157929,0.228594,0.124194,0.061863
27,0.186997,0.096332,0.149458,0.064036,0.096225,0.095137,0.162308,0.161836,0.131975,0.030258
28,0.195332,0.086942,0.131324,0.058221,0.235342,0.108529,0.089949,0.134847,0.150259,0.018532
29,0.164452,0.143471,0.220975,0.077787,0.138619,0.087835,0.101241,0.119505,0.100948,0.029516
30,0.148872,0.204762,0.130362,0.054462,0.133487,0.120208,0.212761,0.121087,0.056868,0.027280
31,0.201600,0.141673,0.194849,0.065194,0.133539,0.046909,0.111529,0.230913,0.168556,0.047298
32,0.176106,0.157780,0.214828,0.073751,0.116443,0.092775,0.126535,0.259457,0.205974,0.042823
33,0.144190,0.142118,0.106001,0.057417,0.148059,0.035728,0.103605,0.110269,0.155896,0.028938
34,0.171525,0.173867,0.244404,0.097713,0.184726,0.058635,0.280648,0.212115,0.146965,0.034391
35,0.205540,0.187808,0.202627,0.091586,0.091958,0.090334,0.203470,0.177808,0.144815,0.055840
36,0.143869,0.151425,0.231048,0.076513,0.055548,0.110920,0.168389,0.152274,0.158396,0.055787
37,0.091605,0.135046,0.246530,0.102342,0.062446,0.080332,0.159244,0.179994,0.127191,0.023761
38,0.148465,0.140546,0.181112,0.073293,0.078791,0.084095,0.201843,0.217856,0.101693,0.035566
39,0.184957,0.147066,0.259242,0.098112,0.059719,0.092339,0.087610,0.138256,0.145377,0.050718
40,0.145371,0.159444,0.386742,0.116312,0.116703,0.088787,0.223754,0.183885,0.132097,0.055170
41,0.186382,0.105164,0.353123,0.086084,0.084544,0.186390,0.261274,0.116592,0.130093,0.034649
42,0.140487,0.131643,0.575532,0.218292,0.152978,0.085668,0.174510,0.098916,0.151294,0.040263
43,0.100370,0.150358,0.353941,0.083165,0.104267,0.126425,0.197104,0.137387,0.228902,0.090614
44,0.116872,0.120590,0.400550,0.116467,0.117014,0.194379,0.271140,0.161970,0.204899,0.033993
45,0.185778,0.079914,0.251084,0.114744,0.116420,0.110422,0.149644,0.155107,0.113973,0.045647
46,0.147321,0.098752,0.323982,0.124990,0.109834,0.149333,0.106539,0.343243,0.227721,0.047062
47,0.105664,0.110971,0.216681,0.178357,0.107820,0.198011,0.096087,0.159242,0.191830,0.074267
48,0.119010,0.068340,0.327668,0.194644,0.096679,0.080743,0.070806,0.214293,0.241021,0.032188
49,0.174801,0.076563,0.224638,0.129675,0.090934,0.083603,0.063253,0.251670,0.170428,0.030480
50,0.141882,0.130621,0.205776,0.108930,0.101555,0.119449,0.078471,0.269531,0.222303,0.051399
51,0.122832,0.073254,0.210024,0.209505,0.098588,0.098200,0.113233,0.270951,0.131072,0.052461
52,0.119332,0.143189,0.274386,0.101053,0.102326,0.073849,0.068536,0.257344,0.167382,0.075723
53,0.185691,0.107621,0.354094,0.160132,0.067884,0.124675,0.090038,0.337433,0.230556,0.092194
54,0.180437,0.097246,0.603489,0.091228,0.063539,0.187267,0.107100,0.118824,0.197769,0.056483
55,0.188738,0.138519,0.326728,0.076144,0.122011,0.099628,0.146244,0.117150,0.168648,0.036769
56,0.256650,0.136354,0.374774,0.043709,0.141459,0.175813,0.102262,0.119795,0.237609,0.046004
57,0.160487,0.165288,0.391155,0.091623,0.180580,0.127068,0.107619,0.187081,0.347928,0.030586
58,0.199500,0.084620,0.370378,0.074897,0.249709,0.219004,0.070642,0.236386,0.232614,0.033210
