Site_ID,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10
1,0.056849,0.120280,0.038150,0.132932,0.226204,0.063553,0.052715,0.205291,0.047309,0.025083
2,0.108327,0.107724,0.059814,0.217648,0.232959,0.038505,0.100583,0.294209,0.061743,0.030175
3,0.087758,0.109253,0.092214,0.111617,0.302588,0.048910,0.088081,0.245607,0.056930,0.027814
4,0.046972,0.084922,0.087638,0.170837,0.178429,0.061950,0.166710,0.209589,0.057332,0.039691
5,0.061580,0.079855,0.089441,0.131242,0.255876,0.061981,0.188883,0.275898,0.055080,0.018469
6,0.088043,0.082490,0.094902,0.173520,0.175088,0.092786,0.152156,0.333600,0.110474,0.028758
7,0.083165,0.128540,0.078994,0.136121,0.174321,0.090583,0.157537,0.199573,0.085628,0.028499
8,0.103645,0.074307,0.084207,0.146049,0.205821,0.069614,0.177245,0.122554,0.151802,0.034250
9,0.080193,0.123803,0.072173,0.168495,0.239199,0.050609,0.083329,0.165916,0.120733,0.056462
10,0.097385,0.098624,0.125890,0.218044,0.128079,0.067236,0.114300,0.168032,0.106700,0.061086
11,0.053112,0.075246,0.188951,0.164749,0.068549,0.047508,0.206447,0.153786,0.128588,0.065644
12,0.092997,0.144564,0.190774,0.160149,0.122962,0.064827,0.223325,0.300602,0.084208,0.081353
13,0.105682,0.114198,0.151994,0.144541,0.108668,0.039504,0.295702,0.216787,0.151457,0.073396
14,0.103110,0.050422,0.095612,0.092352,0.198110,0.078627,0.250541,0.105271,0.189536,0.083898
15,0.059494,0.067106,0.084277,0.115519,0.136080,0.134790,0.259783,0.263055,0.190404,0.054808
16,0.090205,0.098118,0.087397,0.102013,0.095919,0.129811,0.119156,0.131600,0.310507,0.035657
17,0.116406,0.105349,0.105769,0.117037,0.125572,0.133478,0.117458,0.131916,0.225891,0.043518
18,0.097232,0.102633,0.158071,0.080118,0.096288,0.084191,0.184638,0.170645,0.161320,0.048485
19,0.178049,0.090758,0.144949,0.072679,0.067860,0.082267,0.136263,0.120051,0.129297,0.026352
20,0.294322,0.101543,0.120993,0.075711,0.127499,0.083438,0.091547,0.139838,0.144193,0.035299
21,0.133905,0.101564,0.280951,0.080002,0.119618,0.135944,0.108067,0.083960,0.074597,0.027818
22,0.123238,0.137218,0.138385,0.063549,0.146528,0.122985,0.236879,0.110588,0.093902,0.034526
23,0.162458,0.084263,0.161145,0.056753,0.122798,0.065645,0.235450,0.091853,0.085427,0.044703
24,0.131622,0.070873,0.138792,0.070593,0.132022,0.054614,0.143412,0.185475,0.094394,0.070367
25,0.261370,0.080925,0.165317,0.041815,0.107027,0.050877,0.121325,0.272399,0.110518,0.048243
26,0.085158,0.083752,0.158198,0.050019,0.158095,0.092262,0.121500,0.177952,0.088911,0.053748
27,0.135085,0.069859,0.098472,0.053304,0.080011,0.081081,0.123870,0.127487,0.094257,0.024879
28,0.139905,0.064362,0.098405,0.047120,0.181660,0.086519,0.071465,0.113735,0.108720,0.015333
29,0.117418,0.110286,0.174856,0.059625,0.112351,0.068537,0.074229,0.099439,0.075848,0.024857
30,0.105146,0.149183,0.102908,0.040617,0.108659,0.093418,0.162290,0.095840,0.043714,0.022901
31,0.146820,0.096774,0.143473,0.048886,0.119623,0.039139,0.081744,0.183763,0.126065,0.038302
32,0.115683,0.113946,0.173799,0.058241,0.101470,0.075709,0.089569,0.188313,0.154197,0.035657
33,0.102178,0.109165,0.078717,0.043436,0.122762,0.031836,0.076791,0.088540,0.121588,0.024974
34,0.116849,0.130208,0.189996,0.075455,0.153259,0.050492,0.209672,0.154320,0.106485,0.029244
35,0.141151,0.133936,0.159891,0.069438,0.073280,0.073872,0.154601,0.136335,0.115909,0.045486
36,0.100181,0.112815,0.172840,0.058944,0.046493,0.090513,0.121211,0.114565,0.121833,0.045579
37,0.069415,0.095906,0.165512,0.077746,0.054337,0.069248,0.116238,0.132882,0.098567,0.018490
38,0.111611,0.095565,0.135733,0.054338,0.071362,0.073433,0.155324,0.154948,0.076048,0.029602
39,0.127089,0.097094,0.187284,0.073754,0.054706,0.081800,0.065072,0.104505,0.110253,0.043839
40,0.094522,0.116177,0.267366,0.088772,0.094194,0.073265,0.164739,0.133783,0.095010,0.049754
41,0.115676,0.073641,0.262488,0.065771,0.074775,0.145030,0.189160,0.085853,0.094172,0.028508
42,0.095725,0.089385,0.456942,0.165319,0.142671,0.069864,0.128163,0.070801,0.100767,0.036689
43,0.069008,0.099849,0.266911,0.068357,0.088568,0.103603,0.144800,0.104692,0.158218,0.088438
44,0.079579,0.077156,0.324613,0.090465,0.094427,0.157035,0.213820,0.136216,0.151713,0.032141
45,0.133956,0.055105,0.190014,0.092291,0.093295,0.099325,0.109508,0.119815,0.083790,0.039532
46,0.103082,0.062055,0.244613,0.101228,0.091383,0.128104,0.081360,0.255722,0.174294,0.043181
47,0.071321,0.068387,0.169706,0.141094,0.091874,0.166695,0.075419,0.131992,0.148125,0.068004
48,0.084194,0.046921,0.264357,0.163248,0.083189,0.067141,0.052053,0.167094,0.187646,0.028234
49,0.115242,0.046940,0.170242,0.112984,0.074329,0.064494,0.047909,0.203078,0.123696,0.025863
50,0.093226,0.088125,0.165022,0.098515,0.080722,0.096584,0.059982,0.197877,0.163578,0.043805
51,0.085324,0.049194,0.169466,0.179925,0.077359,0.076843,0.083404,0.196179,0.111504,0.042927
52,0.082145,0.089996,0.206211,0.084891,0.081875,0.056936,0.049696,0.181475,0.128798,0.062089
53,0.135228,0.072449,0.262159,0.134791,0.053252,0.106108,0.062319,0.252296,0.174778,0.072528
54,0.127811,0.068585,0.441551,0.073965,0.051671,0.139864,0.081239,0.086705,0.153206,0.045412
55,0.139467,0.103509,0.231673,0.061783,0.105724,0.083134,0.106171,0.081260,0.130153,0.031173
56,0.170730,0.100850,0.264363,0.035746,0.107054,0.146472,0.073810,0.084469,0.183589,0.037716
57,0.102064,0.128841,0.282917,0.076659,0.142219,0.107275,0.085395,0.139411,0.278469,0.027513
58,0.125090,0.064828,0.260158,0.064469,0.190684,0.184985,0.054923,0.170185,0.184754,0.027786
59,0.094633,0.142018,0.231417,0.064248,0.110255,0.053785,0.072811,0.147485,0.224307,0.040870
60,0.104544,0.174090,0.131984,0.083514,0.140605,0.094275,0.121324,0.192309,0.200698,0.041273
61,0.199910,0.185421,0.157226,0.042626,0.093622,0.066875,0.092163,0.165948,0.163815,0.035273
62,0.117633,0.142055,0.163731,0.075443,0.094331,0.077083,0.088177,0.177532,0.165241,0.035217
63,0.163798,0.130546,0.269481,0.083605,0.108169,0.085429,0.055314,0.181993,0.165373,0.038817
64,0.115059,0.079492,0.201610,0.085926,0.132802,0.093282,0.090171,0.159914,0.134014,0.037557
65,0.142559,0.073217,0.220251,0.118914,0.097595,0.069469,0.043484,0.237651,0.109205,0.031323
66,0.120516,0.106807,0.168443,0.091059,0.128294,0.131891,0.072907,0.119622,0.132712,0.071382
67,0.137448,0.199844,0.280168,0.045012,0.182193,0.147941,0.053053,0.203788,0.116917,0.059489
68,0.092807,0.196212,0.259021,0.098450,0.197871,0.078868,0.062405,0.154205,0.076405,0.056161
69,0.112817,0.110362,0.156653,0.064210,0.115253,0.126574,0.093244,0.269657,0.116530,0.061942
70,0.147564,0.217876,0.163261,0.074461,0.160878,0.111849,0.051792,0.234363,0.071656,0.042607
71,0.112073,0.209613,0.153549,0.180203,0.195297,0.203579,0.047981,0.218926,0.087083,0.048696
72,0.109151,0.168105,0.143222,0.103023,0.239510,0.087152,0.084630,0.207627,0.164007,0.054653
73,0.109838,0.167210,0.189226,0.113368,0.148546,0.081258,0.058831,0.153723,0.095789,0.033670
74,0.175761,0.167460,0.165755,0.132277,0.147378,0.214614,0.042281,0.142521,0.117963,0.031010
75,0.113609,0.136227,0.285389,0.099684,0.067910,0.106525,0.068043,0.272309,0.116143,0.031284
76,0.065590,0.180217,0.251142,0.059316,0.080087,0.134440,0.041860,0.270809,0.192964,0.016576
77,0.075752,0.159984,0.184756,0.079462,0.080478,0.095064,0.037644,0.139146,0.215465,0.031027
78,0.091769,0.101440,0.322699,0.067014,0.109761,0.154127,0.056892,0.153274,0.154206,0.032494
79,0.114221,0.105459,0.126505,0.094279,0.087289,0.125426,0.060963,0.143930,0.159101,0.021445
80,0.090756,0.140560,0.208959,0.106461,0.094403,0.116491,0.062014,0.134110,0.133940,0.033433
81,0.130595,0.108152,0.274054,0.084747,0.107418,0.122300,0.070379,0.080020,0.153506,0.028226
82,0.124760,0.150055,0.285710,0.119846,0.111497,0.109510,0.059821,0.086821,0.083306,0.021713
83,0.122010,0.161409,0.232561,0.092661,0.072413,0.067733,0.047496,0.078530,0.098833,0.067691
84,0.111062,0.114439,0.395588,0.116595,0.098722,0.127602,0.071649,0.112165,0.156800,0.044449
85,0.120192,0.136335,0.561768,0.120665,0.089536,0.128934,0.065979,0.125979,0.160191,0.025199
86,0.076032,0.124454,0.394614,0.089610,0.075068,0.074283,0.049825,0.104245,0.177632,0.033906
87,0.060114,0.130643,0.352969,0.104699,0.053867,0.057836,0.047377,0.124673,0.201577,0.069047
88,0.041867,0.100707,0.227207,0.086391,0.074641,0.060940,0.057800,0.140938,0.144237,0.060876
89,0.041742,0.149515,0.241175,0.109824,0.088734,0.092274,0.051908,0.226153,0.094706,0.020981
90,0.042866,0.184170,0.210901,0.123251,0.095483,0.102026,0.086625,0.358520,0.159647,0.018243
91,0.043607,0.110906,0.238274,0.131308,0.088726,0.070507,0.092050,0.300810,0.170770,0.019766
92,0.047074,0.134141,0.391847,0.092939,0.093730,0.073065,0.070236,0.172507,0.150711,0.020537
93,0.070434,0.074581,0.343194,0.159920,0.109660,0.069797,0.108210,0.188244,0.172456,0.018211
94,0.077242,0.121065,0.241473,0.109301,0.168684,0.119183,0.103750,0.135379,0.156935,0.018612
95,0.073911,0.303398,0.321143,0.133571,0.216373,0.089317,0.077601,0.181725,0.152325,0.017051
96,0.107919,0.207888,0.250449,0.157078,0.248955,0.096195,0.104258,0.125422,0.117475,0.017071
97,0.075380,0.134593,0.256168,0.130754,0.175567,0.095405,0.046448,0.118369,0.101162,0.018022
98,0.099316,0.237414,0.202663,0.170248,0.172498,0.053011,0.053689,0.102441,0.085215,0.015293
99,0.108078,0.107277,0.079846,0.163592,0.317525,0.143012,0.071803,0.147376,0.065268,0.035729
100,0.087618,0.087907,0.125013,0.147037,0.254383,0.095959,0.086841,0.228058,0.069687,0.045221
101,0.089689,0.123700,0.105842,0.136989,0.172032,0.067871,0.146434,0.142642,0.050672,0.016686
102,0.073258,0.133421,0.054351,0.241430,0.115130,0.083091,0.166827,0.183007,0.045953,0.030039
103,0.061103,0.156421,0.059348,0.216183,0.192920,0.090238,0.181934,0.155559,0.059314,0.029922
104,0.070732,0.121904,0.105246,0.194890,0.187986,0.072811,0.186346,0.143988,0.082222,0.041242
105,0.081256,0.148416,0.088312,0.125856,0.181744,0.138570,0.166074,0.163406,0.090208,0.021741
106,0.077193,0.105152,0.137196,0.142846,0.188669,0.068405,0.223935,0.208128,0.087533,0.046411
107,0.076749,0.170154,0.076843,0.126189,0.130439,0.061260,0.072643,0.217014,0.129688,0.051819
108,0.073734,0.151530,0.063757,0.233586,0.190686,0.047012,0.178282,0.143142,0.150150,0.035670
109,0.186866,0.112153,0.117340,0.134003,0.122759,0.058646,0.157961,0.304625,0.130229,0.074195
110,0.073386,0.083280,0.119784,0.112591,0.130534,0.050528,0.264845,0.239069,0.202252,0.048069
111,0.113933,0.105078,0.081362,0.136444,0.087072,0.067956,0.226075,0.188483,0.202663,0.058013
112,0.110622,0.090413,0.078709,0.107504,0.163270,0.059380,0.162790,0.219474,0.194676,0.051534
113,0.089532,0.081241,0.056564,0.131338,0.114304,0.125779,0.233709,0.194000,0.241792,0.043018
114,0.100943,0.123022,0.094489,0.090641,0.147702,0.147029,0.078935,0.114362,0.288825,0.050087
115,0.137321,0.096380,0.093689,0.091909,0.088798,0.234403,0.224222,0.132718,0.315746,0.038520
116,0.145907,0.088303,0.145044,0.099071,0.189494,0.154870,0.141946,0.098272,0.179779,0.033705
117,0.116275,0.082557,0.171926,0.043313,0.166715,0.076705,0.307395,0.084499,0.128794,0.042681
118,0.213174,0.156833,0.209810,0.059824,0.188845,0.110278,0.136140,0.089293,0.076283,0.055781
119,0.291753,0.125977,0.152101,0.054249,0.202175,0.070618,0.174810,0.171845,0.117387,0.027815
120,0.130407,0.202313,0.105613,0.108993,0.133865,0.083737,0.265965,0.132843,0.126597,0.032294
121,0.122328,0.114058,0.137628,0.060348,0.135115,0.091186,0.111179,0.160057,0.077340,0.043513
122,0.137620,0.132201,0.118225,0.072559,0.196360,0.071605,0.097416,0.143374,0.121430,0.036776
123,0.223041,0.094050,0.125989,0.049594,0.190324,0.044256,0.089219,0.192397,0.126171,0.033174
124,0.213561,0.109718,0.103677,0.045497,0.146841,0.076973,0.103288,0.156797,0.124284,0.054923
125,0.156911,0.096436,0.094311,0.049485,0.061751,0.092468,0.161563,0.106663,0.085399,0.020065
126,0.134729,0.107485,0.116897,0.044555,0.099097,0.099179,0.112667,0.152738,0.092459,0.020725
127,0.121404,0.090160,0.088678,0.038455,0.096585,0.060778,0.077459,0.116129,0.102015,0.037264
128,0.169627,0.084470,0.093298,0.094839,0.092391,0.057061,0.118434,0.103025,0.105085,0.043789
129,0.106432,0.121052,0.128339,0.083783,0.070535,0.044135,0.101929,0.084326,0.140129,0.046629
130,0.195999,0.109241,0.165083,0.048525,0.084455,0.078364,0.083634,0.120568,0.090523,0.041793
131,0.118020,0.073645,0.155631,0.064641,0.116015,0.091707,0.105712,0.146636,0.162362,0.064035
132,0.074658,0.135794,0.245072,0.048386,0.099602,0.117190,0.153304,0.202650,0.148874,0.044705
