Site_ID,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10
1,0.032275,0.066646,0.043428,0.036652,0.053110,0.019533,0.042367,0.068525,0.023892,0.029696
2,0.053512,0.044667,0.064939,0.045834,0.118601,0.009608,0.063085,0.114994,0.031486,0.024216
3,0.065498,0.065405,0.133083,0.036595,0.098321,0.022540,0.085822,0.074432,0.034862,0.032838
4,0.027751,0.022939,0.130991,0.030431,0.101805,0.033363,0.154488,0.100747,0.038236,0.028373
5,0.045096,0.026190,0.087671,0.038593,0.113998,0.048845,0.161061,0.095194,0.031250,0.019711
6,0.036648,0.046760,0.067546,0.030471,0.074436,0.032845,0.132660,0.095032,0.051748,0.024008
7,0.057741,0.049459,0.052672,0.045557,0.149389,0.038921,0.131128,0.074984,0.020805,0.025248
8,0.045412,0.021584,0.098494,0.039197,0.089866,0.034691,0.169108,0.083714,0.051878,0.050372
9,0.039317,0.035663,0.116753,0.041033,0.132669,0.019011,0.154289,0.086988,0.071282,0.047397
10,0.043545,0.028653,0.131908,0.071660,0.048248,0.026736,0.114025,0.121232,0.026327,0.062748
11,0.039345,0.032457,0.163806,0.050912,0.058063,0.023204,0.118430,0.143896,0.049151,0.041911
12,0.058125,0.042162,0.089096,0.028320,0.066092,0.027412,0.093206,0.206103,0.042388,0.077328
13,0.039359,0.042880,0.183068,0.039768,0.057834,0.021886,0.168322,0.128432,0.112793,0.076614
14,0.028289,0.021307,0.161187,0.027930,0.162290,0.023715,0.087283,0.037027,0.104151,0.071692
15,0.017406,0.050570,0.081981,0.032695,0.111531,0.040524,0.325035,0.141364,0.135188,0.036421
16,0.027039,0.031979,0.114345,0.014388,0.041424,0.037043,0.094800,0.052067,0.220303,0.026777
17,0.053162,0.034524,0.250167,0.015106,0.055451,0.041712,0.072313,0.057084,0.087390,0.033242
18,0.027992,0.041776,0.226737,0.020384,0.055317,0.037368,0.123907,0.102184,0.063279,0.063050
19,0.040189,0.040068,0.120120,0.015541,0.059663,0.038619,0.187235,0.084706,0.038229,0.040578
20,0.071612,0.049494,0.156800,0.013856,0.075715,0.035315,0.090218,0.083631,0.087236,0.045715
21,0.046153,0.041134,0.182223,0.014879,0.090065,0.039805,0.080351,0.046550,0.029315,0.030416
22,0.056424,0.088947,0.128269,0.019043,0.115115,0.046567,0.123915,0.024939,0.036800,0.033861
